
> @werkles/tinkarden-membrane@0.0.0 dev
> next dev -p 3339

   ▲ Next.js 15.5.18
   - Local:        http://localhost:3339
   - Network:      http://10.1.10.194:3339

 ✓ Starting...
 ✓ Ready in 1418ms
 ○ Compiling /api/feral/[...path] ...
 ✓ Compiled /api/feral/[...path] in 972ms (299 modules)
 GET /api/feral/v1/engine-room 200 in 1365ms
 GET /api/feral/v1/engine-room 200 in 1369ms
 GET /api/feral/v1/engine-room 200 in 1371ms
 GET /api/feral/v1/engine-room 200 in 1373ms
 GET /api/feral/v1/engine-room 200 in 35ms
 GET /api/feral/v1/engine-room 200 in 35ms
 GET /api/feral/v1/engine-room 200 in 11ms
 GET /api/feral/v1/engine-room 200 in 15ms
 GET /api/feral/v1/engine-room 200 in 14ms
 GET /api/feral/v1/engine-room 200 in 20ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 1774ms
 GET /api/feral/v1/engine-room 200 in 19ms
 GET /api/feral/v1/engine-room 200 in 10ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 1842ms
 GET /api/feral/v1/engine-room 200 in 12ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 490ms
 GET /api/feral/v1/engine-room 200 in 12ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 490ms
 GET /api/feral/v1/engine-room 200 in 20ms
 GET /api/feral/v1/engine-room 200 in 24ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 479ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 431ms
 GET /api/feral/v1/engine-room 200 in 22ms
 GET /api/feral/v1/engine-room 200 in 24ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 194ms
 GET /api/feral/v1/engine-room 200 in 79ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 287ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 263ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 237ms
 GET /api/feral/v1/engine-room 200 in 209ms
 GET /api/feral/v1/engine-room 200 in 78ms
 GET /api/feral/v1/engine-room 200 in 52ms
 GET /api/feral/v1/engine-room 200 in 50ms
 GET /api/feral/v1/engine-room 200 in 42ms
 GET /api/feral/v1/engine-room 200 in 23ms
 GET /api/feral/v1/engine-room 200 in 22ms
